datetime,symbol,open,high,low,close,volume
2022-01-13,BITKUB:KUBTHB,431.89,469.4,410.25,431.0,3590789.10179822
2022-01-14,BITKUB:KUBTHB,431.8,440.0,402.0,428.1,2200140.92140989
2022-01-15,BITKUB:KUBTHB,429.0,438.99,416.2,425.0,887486.65647189
2022-01-16,BITKUB:KUBTHB,425.99,435.0,422.08,427.48,638305.70211845
2022-01-17,BITKUB:KUBTHB,427.44,430.0,380.0,388.21,2302310.5571146
2022-01-18,BITKUB:KUBTHB,388.21,399.0,365.0,376.99,1465544.19240902
2022-01-19,BITKUB:KUBTHB,376.99,395.0,372.19,382.8,727424.66643678
2022-01-20,BITKUB:KUBTHB,382.8,385.0,370.0,378.5,576150.57349358
2022-01-21,BITKUB:KUBTHB,378.99,381.99,331.3,345.99,2011123.78669611
2022-01-22,BITKUB:KUBTHB,345.5,346.91,294.92,313.0,2827564.35258426
2022-01-23,BITKUB:KUBTHB,313.01,370.0,305.0,338.0,2642247.0668057
2022-01-24,BITKUB:KUBTHB,338.79,356.0,315.01,330.01,1516505.9679542
2022-01-25,BITKUB:KUBTHB,330.01,343.0,321.5,323.5,1117613.51854346
2022-01-26,BITKUB:KUBTHB,323.5,330.0,305.0,312.49,1468163.0514009
2022-01-27,BITKUB:KUBTHB,312.2,319.4,305.0,309.44,807291.10764653
2022-01-28,BITKUB:KUBTHB,309.2,340.0,307.5,331.85,1435655.94029184
2022-01-29,BITKUB:KUBTHB,331.5,338.89,320.0,325.99,897282.0296662
2022-01-30,BITKUB:KUBTHB,326.0,331.75,322.0,326.61,453853.06905253
2022-01-31,BITKUB:KUBTHB,326.61,329.0,315.0,319.5,491970.68537823
2022-02-01,BITKUB:KUBTHB,319.99,328.5,319.11,323.2,499835.77815601
2022-02-02,BITKUB:KUBTHB,324.6,326.26,315.0,317.38,403344.73392435
2022-02-03,BITKUB:KUBTHB,316.57,319.9,308.0,310.2,483528.84575014
2022-02-04,BITKUB:KUBTHB,310.03,325.0,309.5,320.02,493758.28908949
2022-02-05,BITKUB:KUBTHB,320.02,330.0,318.0,320.4,930847.43250072
2022-02-06,BITKUB:KUBTHB,320.09,326.0,316.01,319.61,691531.85331292
2022-02-07,BITKUB:KUBTHB,318.71,325.0,318.0,320.51,636792.83783319
2022-02-08,BITKUB:KUBTHB,320.57,359.49,320.24,329.02,2612463.23596201
2022-02-09,BITKUB:KUBTHB,329.0,338.0,326.01,333.7,527288.44487641
2022-02-10,BITKUB:KUBTHB,333.98,338.0,316.0,326.19,722653.06302705
2022-02-11,BITKUB:KUBTHB,326.19,329.0,316.5,320.12,330686.12488641
2022-02-12,BITKUB:KUBTHB,320.13,322.0,310.5,312.51,520142.49660136
2022-02-13,BITKUB:KUBTHB,313.0,327.0,312.5,318.96,533240.75928931
2022-02-14,BITKUB:KUBTHB,318.23,320.79,311.0,312.77,456138.23940126
2022-02-15,BITKUB:KUBTHB,312.38,320.0,311.02,314.09,511186.9159472
2022-02-16,BITKUB:KUBTHB,314.1,319.99,313.0,313.71,301088.14474843
2022-02-17,BITKUB:KUBTHB,313.1,315.5,310.0,312.28,371902.68899784
2022-02-18,BITKUB:KUBTHB,312.01,313.8,300.1,301.0,542230.49505478
